name,lat,lng,category,city,country,googleMapsLink,note
Amritsr Restaurant Sukhumvit Soi 22 - IndianRestaurant in Bangkok,13.732823,100.5650829,咖哩/印度,曼谷,TH,http://maps.google.com/?cid=9448594860363652209,
Buchon Yukhoe Main Store,37.5703409,126.999913,韓式料理,首爾,KR,http://maps.google.com/?cid=3621053671024990226,
松松海鮮店,13.7466887,100.5237356,海鮮料理,曼谷,TH,http://maps.google.com/?cid=5617696477233151,
成家小館 仁愛店｜酸菜白肉鍋・熱炒料理,25.0352905,121.5543882,東北/川湘菜,台北,TW,http://maps.google.com/?cid=11776717982364614449,
博多牛腸鍋 樂天地 博多站前店,33.5888011,130.415981,牛腸鍋,福岡,JP,http://maps.google.com/?cid=15499953752796295670,
Dacomecca,33.5874397,130.4193439,麵包坊,福岡,JP,http://maps.google.com/?cid=3049944856696640556,
天婦羅宮 上野站前店,35.7113521,139.7754892,天婦羅,東京,JP,http://maps.google.com/?cid=17063410719040137592,
Tempura Miya,35.7089951,139.774034,天婦羅,東京,JP,http://maps.google.com/?cid=6615999735455776040,
淺草 炸牛,35.7107673,139.7959519,日式料理,東京,JP,http://maps.google.com/?cid=15133757769088164000,
Khao Kheow Open Zoo,13.2155378,101.0530514,景點,,TH,http://maps.google.com/?cid=11981486391532339390,
好米亞,25.038892,121.547985,西式料理,台北,TW,http://maps.google.com/?cid=12275814521498230020,
雞窩餐廳,25.020063,121.5573831,台式料理,台北,TW,http://maps.google.com/?cid=4266412713323089882,
順順小館,25.0364053,121.5570006,台式料理,台北,TW,http://maps.google.com/?cid=6500239743716844125,
如嬌 花膠雞．鍋物 仁愛二店,25.0361559,121.5537984,火鍋,台北,TW,http://maps.google.com/?cid=18190133334220095121,
矢場丼 榮CentRise店,35.1679811,136.905446,豬排,名古屋,JP,http://maps.google.com/?cid=8236355203311106546,
名古屋味噌豬排 黑豚屋 らむちぃ,35.1667687,136.9078985,豬排,名古屋,JP,http://maps.google.com/?cid=13117063955543650772,
Have a Zeed by Steak Lao,13.7377055,100.5605626,西式料理,曼谷,TH,http://maps.google.com/?cid=8139199735839496240,
Pad Thai Mae Thong Bai,13.7440671,100.5329694,泰式料理,曼谷,TH,http://maps.google.com/?cid=1066653386950431125,
燒酒烤烤豬,25.0430331,121.5469997,台式料理,台北,TW,http://maps.google.com/?cid=6156349629597270203,
Tully’s Coffee - Yaechika,35.6794723,139.7714558,咖啡廳,東京,JP,http://maps.google.com/?cid=1364095592503644362,
膳 식사 韓式料理 Ma C So Yo,25.0026051,121.5123205,韓式料理,台北,TW,http://maps.google.com/?cid=13409518294517890448,
羊肉湯鍋-車庫羊肉爐,25.0593927,121.5398035,羊肉爐,台北,TW,http://maps.google.com/?cid=15361610955009835684,
階梯上食堂,25.1818661,121.6884075,台式料理,基隆,TW,http://maps.google.com/?cid=2004551241677275683,
福田一方鳳梨酥,25.0559075,121.5141834,甜點,台北,TW,http://maps.google.com/?cid=8173077605302286306,
碗粿之家,25.0523327,121.5136898,台式小吃,台北,TW,http://maps.google.com/?cid=11714517422805810951,
京站永春湯包麵館2.0,23.4819013,120.4313625,上海料理,嘉義,TW,http://maps.google.com/?cid=2729668852263758435,
La Nuova Piazzetta,41.8933246,12.489191,其他,羅馬,IT,http://maps.google.com/?cid=5816990672718758843,
韓金館,25.0500847,121.5274311,韓式料理,台北,TW,http://maps.google.com/?cid=8802726511104811687,
南大門韓國烤肉,25.0503333,121.527175,燒肉/燒烤,台北,TW,http://maps.google.com/?cid=4852314024658604876,
啊興阿滷肉飯,25.0506561,121.5273102,台式料理,台北,TW,http://maps.google.com/?cid=9998097511901422065,
鰻の成瀬 熊本市庁舎通り店,32.8026868,130.7091901,鰻魚料理,熊本,JP,http://maps.google.com/?cid=10013937293150167643,
泰美,25.0359152,121.5457884,泰式料理,台北,TW,http://maps.google.com/?cid=13672341750054380655,
香宜德瑞餐廳,25.0515797,121.5299273,台式料理,台北,TW,http://maps.google.com/?cid=12887730424992871471,
THE DISTRICT KEBAB | PIDE | LAHMACUN | PIZZA,48.2122876,16.3732955,異國料理,維也納,AT,http://maps.google.com/?cid=12152099561632457431,
小倉屋鰻魚飯 光復本店,25.0397246,121.5561857,鰻魚料理,台北,TW,http://maps.google.com/?cid=8085735779149419724,
榮榮園浙寧餐廳,25.0335786,121.5446388,上海料理,台北,TW,http://maps.google.com/?cid=6018616477767085582,
新葡苑餐廳 台北中山店,25.0538991,121.5224502,台式料理,台北,TW,http://maps.google.com/?cid=6875505174433894628,
雞湯榮麵食館,25.0602382,121.5238835,台式料理,台北,TW,http://maps.google.com/?cid=14779126292044256209,
Pastaio 手工義大利麵 林口店,25.0728206,121.3661375,西式料理,桃園,TW,http://maps.google.com/?cid=10764809080066871370,
春川家,25.0515626,121.5323359,韓式料理,台北,TW,http://maps.google.com/?cid=13128640593330941716,
番紅花城土耳其餐廳,25.051831,121.529944,異國料理,台北,TW,http://maps.google.com/?cid=17614708431082809416,
義大利米蘭手工窯烤披薩 台北中山店,25.0537685,121.5335221,台式料理,台北,TW,http://maps.google.com/?cid=15093936302375155411,
四平小館,25.0537431,121.5323081,台式料理,台北,TW,http://maps.google.com/?cid=11313261102116659669,
Chef 78,25.0450357,121.5319312,台式料理,台北,TW,http://maps.google.com/?cid=12913962327631982128,
韓香渟,25.1061647,121.5239938,韓式料理,台北,TW,http://maps.google.com/?cid=14091667637686761228,
滿納多韓國料理,25.1178212,121.5165363,韓式料理,台北,TW,http://maps.google.com/?cid=1111628468204452150,
NAAM 1608,13.7360369,100.5099487,泰式料理,曼谷,TH,http://maps.google.com/?cid=3060492051798961,
东大门 DDP 餐厅 順美家幸福的醬蟹,37.5677159,127.0077048,海鮮料理,首爾,KR,http://maps.google.com/?cid=490013063261449072,
Saemaul Restaurant Hongdae Seogyo Branch,37.5561608,126.9258254,韓式料理,首爾,KR,http://maps.google.com/?cid=4414453114557686660,
荒謬的生肉 弘大店,37.5550467,126.9235304,韓式料理,首爾,KR,http://maps.google.com/?cid=12693857427888256826,
RONGROS,13.7442546,100.4917087,泰式料理,曼谷,TH,http://maps.google.com/?cid=2272362899657774987,
Grand Pearl Cruise,13.7305101,100.5129246,景點,曼谷,TH,http://maps.google.com/?cid=1136130881808051594,
新韓館 - 韓式料理、ktv包廂、無菜單料理,25.0597939,121.543949,韓式料理,台北,TW,http://maps.google.com/?cid=14756168129033479778,
金孫俱樂部 日式燒肉,25.0603046,121.5410523,燒肉/燒烤,台北,TW,http://maps.google.com/?cid=4494232491935717190,
UNCLE-K 排骨火鍋店,25.0615164,121.5391637,火鍋,台北,TW,http://maps.google.com/?cid=8945578524530423166,
彌敦道茶餐廳,25.0569212,121.5465717,港式冰室,台北,TW,http://maps.google.com/?cid=7638123275903931887,
